ticket_id,employee_name,issue_description,status,exact_error_code,created_at,priority,resolution_notes,system
TKT-10003,[REDACTED_PERSON],Remote employee [REDACTED_PERSON] unable to establish NEXAVPN tunnel. VPN client shows certificate error on connection attempt.,Resolved,VPN-CERT-7731,2024-01-04 18:51,P3,Re-issued VPN client certificate via MDM push. User confirmed connectivity restored.,NEXAVPN
TKT-10036,[REDACTED_PERSON],DB-CONN-POOL-99 recurrence during batch processing window. Pool size appears insufficient for concurrent ETL loads. Requires parameter tuning.,Resolved,DB-CONN-POOL-99,2024-01-06 16:46,P1,Increased connection pool size from 100 to 200. Added connection timeout of 30s. Killed stale connections.,
TKT-10074,[REDACTED_PERSON],BACKUP-ROTATE-33 — End-of-month full backup set failed to rotate to offsite vault. Compliance reporting to [REDACTED_PERSON] delayed.,In Progress,BACKUP-ROTATE-33,2024-01-10 07:59,P2,,
TKT-10016,[REDACTED_PERSON],LDAP directory sync failure on AUTH-GATEWAY. New hires onboarded by [REDACTED_PERSON] this morning cannot log in to any NexaCorp system.,Resolved,ERR-AUTH-0041,2024-01-17 18:20,P3,Updated AUTH-GATEWAY LDAP schema mapping to match new AD schema. Forced full LDAP sync.,AUTH-GATEWAY
TKT-10001,[REDACTED_PERSON],User cannot authenticate via AUTH-GATEWAY after MFA token was rotated last night. Token appears expired in the Vault.,Resolved,ERR-AUTH-9092,2024-01-17 19:21,P2,Re-provisioned MFA token in [REDACTED_PERSON]. User re-enrolled YubiKey successfully.,AUTH-GATEWAY
TKT-10030,[REDACTED_PERSON],HRPORTAL Workday integration sync failed overnight. Employee leave balances showing stale data from 48 hours ago across entire company.,In Progress,HR-SYNC-8812,2024-01-23 17:29,P2,,HRPORTAL
TKT-10072,[REDACTED_PERSON],VPN-CERT-7731 for all iOS devices after MDM certificate push failed silently. 28 mobile users unable to connect to NEXAVPN.,In Progress,VPN-CERT-7731,2024-01-25 19:07,P3,,NEXAVPN
TKT-10026,[REDACTED_PERSON],APIGATEWAY-V2 JWT token validation timing out for mobile app consumers. Token appears valid on inspection but gateway returns 401.,Escalated,API-TIMEOUT-7720,2024-01-29 09:52,P2,,APIGATEWAY-V2
TKT-10064,[REDACTED_PERSON],MONITOR-ALERT-119 for BUILDPIPE-CI executor nodes — all 4 nodes showing CPU saturation above 95% for 10 minutes. Pipeline queue backlog growing.,In Progress,MONITOR-ALERT-119,2024-02-02 12:24,P3,,BUILDPIPE-CI
TKT-10078,[REDACTED_PERSON],DB-TIMEOUT-404X on NEXACORE-DB standby node during switchover test. Standby node query replay fell behind by 12 minutes causing test to abort.,In Progress,DB-TIMEOUT-404X,2024-02-06 14:15,P3,,NEXACORE-DB
TKT-10019,[REDACTED_PERSON],CLOUDSYNC-S3 hash verification failure on 14 files in the /finance/q4-reports directory. Files may be corrupted in transit.,In Progress,SYNC-HASH-773B,2024-02-10 07:46,P3,,CLOUDSYNC-S3
TKT-10022,[REDACTED_PERSON],NEXASEC-FW IDS engine detected signature match for known SQL injection pattern against APIGATEWAY-V2. Potential intrusion attempt in progress.,Escalated,FW-IDS-2209,2024-02-17 09:14,P1,,NEXASEC-FW
TKT-10075,[REDACTED_PERSON],API-RATE-4429 complaint from NexaRetail partner. Investigation shows their API key was erroneously downgraded to free tier during [REDACTED_PERSON]'s rate limit configuration update.,Resolved,API-RATE-4429,2024-02-19 11:54,P3,Corrected rate limit policy file. Restored premium tier consumers to 5000 req/min.,
TKT-10058,[REDACTED_PERSON],BUILD-DOCKER-55X for the internal-api-service image. Critical CVE in base Debian image. [REDACTED_PERSON] updating to patched base image and resubmitting.,Resolved,BUILD-DOCKER-55X,2024-02-22 07:24,P2,Migrated base image from Python 3.9 alpine to Python 3.12 slim. All CVEs resolved.,
